Var1	Var2	Var3	Var4	Var5
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-28
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-28
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-30
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-30
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-30
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-30
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-36
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-36
03-Apr-2018 09:42:15	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-42
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-38
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-38
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-32
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-32
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-38
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-38
03-Apr-2018 09:42:16	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-48
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-36
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-30
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-30
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-30
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-30
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-36
03-Apr-2018 09:42:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-42
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-50
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-52
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-34
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-22
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-24
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-24
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-18
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-18
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-18
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-18
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-18
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-18
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-18
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-18
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-20
03-Apr-2018 09:43:08	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-26
03-Apr-2018 09:43:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-62
03-Apr-2018 09:43:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-58
03-Apr-2018 09:43:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-60
03-Apr-2018 09:43:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-66
03-Apr-2018 09:43:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-52
03-Apr-2018 09:43:23	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-52
03-Apr-2018 09:43:38	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-50
03-Apr-2018 09:43:38	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-42
03-Apr-2018 09:43:38	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-42
03-Apr-2018 09:43:38	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-44
03-Apr-2018 09:43:38	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-44
03-Apr-2018 09:43:38	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-48
03-Apr-2018 09:43:38	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-54
03-Apr-2018 09:43:39	c0:ee:fb:9a:69:85	OnePlus Tech (Shenzhen) Ltd		-54
